,0
2021-12-27,3.9670572
2021-12-28,5.093401
2021-12-29,6.741433
2021-12-30,7.9397187
2021-12-31,11.349814
2022-01-01,17.849007
2022-01-02,24.035618
2022-01-03,24.085093
2022-01-04,20.153297
2022-01-05,19.846981
2022-01-06,21.913986
2022-01-07,29.039412
2022-01-08,27.636126
2022-01-09,22.857613
2022-01-10,19.477463
2022-01-11,15.949926
2022-01-12,14.994631
2022-01-13,16.19004
2022-01-14,16.364914
2022-01-15,15.766169
2022-01-16,16.690498
2022-01-17,20.950634
2022-01-18,18.995386
2022-01-19,18.51207
2022-01-20,16.057705
2022-01-21,12.984928
2022-01-22,10.402977
2022-01-23,8.565674
2022-01-24,7.116976
2022-01-25,5.992772
2022-01-26,5.0967445
2022-01-27,4.355468
2022-01-28,3.987166
2022-01-29,5.6255264
2022-01-30,11.623576
2022-01-31,22.512613
2022-02-01,31.632626
